date,industry_avg_conversion,pdd_conversion,total_gmv,ai_contributed_gmv,year,month,ai_contribution_rate,conversion_improvement
2021-01-31,0.1253056272446125,0.19125057312481003,1957.8597827161498,304.91587097150216,2021,1,15.573938116676093,52.6272820545119
2021-02-28,0.12408726323938989,0.179220207831075,2112.9534606950238,356.1392737849564,2021,2,16.855045811932357,44.43078455628626
2021-03-31,0.12850545676505967,0.19045453845160504,2194.0431383742484,369.85094636230536,2021,3,16.857049886282503,48.20735496065656
2021-04-30,0.12657925184164537,0.17465345683074263,2265.0468401689213,330.3219562213847,2021,4,14.583449241021002,37.97953004907914
2021-05-31,0.12621079037867564,0.1745385445995704,2296.055635311461,334.54619295870964,2021,5,14.570474156360252,38.29130146154298
2021-06-30,0.13882429160324958,0.20229413969649274,2402.9992042255017,464.49225079215864,2021,6,19.329688082100997,45.719554812954264
2021-07-31,0.12175367887850612,0.17369155083082982,2186.223846669814,344.0989448528781,2021,7,15.739419610532106,42.658154094999254
2021-08-31,0.12806406745829357,0.1809494600334073,2304.8614749487833,391.09922076996475,2021,8,16.968447996583198,41.29604316397091
2021-09-30,0.12891191986022757,0.1906177393597411,2230.2710431829155,343.4465747868463,2021,9,15.399319999092981,47.866651560552285
2021-10-31,0.12680274233523853,0.18176688918723993,2265.3629437501236,304.1516762446031,2021,10,13.426178665265216,43.34618150977232
2021-11-30,0.16125811058110176,0.2345065846638521,3176.6201824006216,574.3739225261324,2021,11,18.081290476851063,45.423125583448645
2021-12-31,0.16329985257518254,0.24404262650442898,2998.634284972158,526.330908943804,2021,12,17.55235413606601,49.44448672546892
2022-01-31,0.13258514114846515,0.17888862733091523,2485.786154177313,484.0947259417993,2022,1,19.474512122786102,34.923586294335
2022-02-28,0.1291205503639464,0.1964744095711817,2521.6450145260383,434.9563964963835,2022,2,17.248914656535696,52.163547179273905
2022-03-31,0.12616894178188115,0.17939309738306902,2726.074006050924,556.6062271838753,2022,3,20.417869285588193,42.18483158335507
2022-04-30,0.12345912750795472,0.1906652130967081,2633.6225912401283,491.36279742210166,2022,4,18.657297330925736,54.43589870212161
2022-05-31,0.12401573615984632,0.18254383843669966,2931.5790241202776,554.8403036139505,2022,5,18.926329430278606,47.194093337812646
2022-06-30,0.1423709679669616,0.23171838338126532,3091.0189387496275,704.6971818272057,2022,6,22.79821624490817,62.75676613720681
2022-07-31,0.13203973673579544,0.202699313960753,2991.285975046736,594.3251212392992,2022,7,19.86854905205155,53.513873150431714
2022-08-31,0.12892428479906515,0.19851566428937098,3046.4794673207093,570.2319340177612,2022,8,18.71773435976129,53.978487915420615
2022-09-30,0.12509212855951293,0.19331097937496686,2852.8568448002165,496.12854201382123,2022,9,17.390586664665424,54.53488688778576
2022-10-31,0.13536217311641524,0.19756721744020528,3169.3492454413354,553.315228659828,2022,10,17.458323012387932,45.954525471670706
2022-11-30,0.16383309729317594,0.2640067015443953,4072.879264246795,955.2492689091525,2022,11,23.45390587181593,61.143691907356654
2022-12-31,0.1570443318747793,0.24803068937600287,4058.248082582689,1029.7690400829554,2022,12,25.374718822699606,57.93673443354347
2023-01-31,0.13622216442583113,0.2554258179675413,3247.3522952421304,848.7545471037452,2023,1,26.136817626695475,87.50679747612806
2023-02-28,0.13136796949721033,0.2478687966701662,3226.7257184506466,919.1884160160666,2023,2,28.486722957581488,88.68282551587268
2023-03-31,0.12669162827406785,0.25757893848718216,3255.793444848296,891.2270142917938,2023,3,27.373573581641036,103.31172785148051
2023-04-30,0.12811065418621922,0.24388957352636437,3421.2084541173817,864.4235228938927,2023,4,25.26661366844133,90.37415355935275
2023-05-31,0.13131878780811923,0.24299352674086663,3488.7724479453213,862.4926883979778,2023,5,24.721953101467953,85.0409456230472
2023-06-30,0.15243218908557324,0.27723064583490564,4289.520798001991,1177.2058443333115,2023,6,27.443761197792544,81.87145871091069
2023-07-31,0.13486643617920932,0.2555047745896492,3606.868446781283,1012.8922016548521,2023,7,28.082316186462037,89.45023078250303
2023-08-31,0.1283320248809922,0.26230723087068336,3792.468510407739,1091.4857283616313,2023,8,28.780350459502763,104.3973288147928
2023-09-30,0.14013034233494762,0.2490449111917388,4137.021081645387,1021.1303932093546,2023,9,24.68274570172671,77.72375849654125
2023-10-31,0.13616538461036728,0.2627065193531078,3785.0820763449615,960.4931548300369,2023,10,25.37575501553009,92.93194089293233
2023-11-30,0.17423631366689857,0.32,5068.602768482012,1358.301259417059,2023,11,26.798337164304055,83.65861470862468
2023-12-31,0.1742317188570062,0.31647097896620696,5471.408063760246,1694.5972090157184,2023,12,30.97186664324759,81.63798247662243
2024-01-31,0.13392546656677076,0.2571043127332804,4514.753799884289,1325.4052494983268,2024,1,29.35719882515623,91.97567074003567
2024-02-29,0.13911269262248024,0.2580015522794177,4368.690688167146,1369.0910255541567,2024,2,31.338703590584238,85.46226617838127
2024-03-31,0.13355260426485313,0.2526692051813182,4292.513463608853,1394.630842823205,2024,3,32.489842015561074,89.19077360726003
2024-04-30,0.13599724026444884,0.2566717018666273,4367.72639007481,1473.0086490795773,2024,4,33.72483799412965,88.73302235216318
2024-05-31,0.14034916073606807,0.25889563390305803,4563.862942263723,1483.8305094986122,2024,5,32.512600143128246,84.46539512261218
2024-06-30,0.15529270896924552,0.31012895304173055,5612.760778621868,1957.5053808482949,2024,6,34.87598096651702,99.70606160470103
2024-07-31,0.13808354445308027,0.26752849794061395,5083.07150974383,1663.0542533700834,2024,7,32.717506534821425,93.7439388597952
2024-08-31,0.13296612645106146,0.2619612560467397,4969.743913822526,1380.9206617460115,2024,8,27.78655571980696,97.01352745893162
2024-09-30,0.14202085768216935,0.27218214348033015,5234.329947371263,1696.5084189389247,2024,9,32.41118607341384,91.64941539041452
2024-10-31,0.1410667006864923,0.2583977679303585,5554.38613660961,1884.1416136649689,2024,10,33.92168940589799,83.17417694812589
2024-11-30,0.18,0.32,6547.311640609296,2067.0122612468467,2024,11,31.570396747671687,77.77777777777779
2024-12-31,0.17970205892932478,0.32,6844.638588300522,2435.095753219554,2024,12,35.57668855418956,78.07252844323457
2025-01-31,0.14601534106179928,0.27165233716838144,5662.132105573436,1819.3440132492672,2025,1,32.131783210399185,86.04369595206286
2025-02-28,0.14446117547379753,0.28122063356348315,5393.239432086972,2115.9966808214217,2025,2,39.234243305282185,94.66865934127135
2025-03-31,0.13934852625606228,0.26852632413464167,5740.434766921235,2118.751134289369,2025,3,36.90924503660405,92.70123003755813
2025-04-30,0.1380261916483405,0.2692380353273267,6202.367973929885,2183.218666688018,2025,4,35.19976041190455,95.06300370387982
2025-05-31,0.1428241652042197,0.2661060254096463,6021.835530834605,2130.9993721092915,2025,5,35.38787071147296,86.31722792088425
2025-06-30,0.16123209871430538,0.3028468266243706,7467.901248353486,3186.1758693520787,2025,6,42.664943782626516,87.83283790220887
2025-07-31,0.14947154836293008,0.2829443159334918,6369.915748693445,2235.619006784931,2025,7,35.09652395706311,89.29643737046068
2025-08-31,0.14942141794898894,0.2807446879940524,6782.10292041493,2696.1969398663277,2025,8,39.75458602597222,87.88784890924805
2025-09-30,0.14305961847546622,0.28166973754534896,7132.815224825162,2683.277235346833,2025,9,37.618768337190524,96.88975865237154
2025-10-31,0.14504718777924022,0.2755288253994828,7136.725558760794,2700.2238191215733,2025,10,37.83561238118332,89.95806097173963
2025-11-30,0.18,0.32,9606.452046092414,3876.9176542096075,2025,11,40.35743514471203,77.77777777777779
2025-12-31,0.18,0.32,9709.220812917527,3510.8240924482116,2025,12,36.1596894343702,77.77777777777779
